Titel,Preis (€),Vergleichspreis (€),Grad
Betten Reiter: 20% auf fast alles für Vorteilskunden,0,0,163
Smoby Outdoor Spielhaus Sweety Corner,129,168.99,126
Billa: 15% auf alle Wellcard und Zalando Gutscheinkarten ab 08.05 in den Filialen,0,0,494
Eurospar Wien Vorgartenstrasse: Totalabverkauf am 9.5. wegen Umbau,0,0,298
"BILLA Abverkauf Grillerei Sauce White BBQ [-75% + 25 % Pickerl] = 0,38 Euro",0.38,0,142
25 % Billa Pickerl auf der OE24,0,0,364
ONEPLUS 13 OXYGENOS 16GB RAM und 512GB Und das Ganze Direkt von Amazon!,956.97,990,231
"[Wochenendaktionen] bei BILLA, SPAR, HOFER, LIDL & PENNY - KW19/25",0,0,316
"E3B Mini PC Ryzen 7 5700U, 16GB RAM / 512GB SSD, Vega 8, WiFi 6, BT 5.2, USB 3.2",281,329,147
"Südtirol: Aktiv- & Vitalhotel Taubers Unterwirt 4* mit 3/4 Pension, Gästecard und Wellnessbereich - ab 2 ÜN",458,596,152
Nudeln bei Spar ab 2 Packungen im Angebot,0.99,1.49,257
"Milka MMMAX - 260g bis 300g Tafeln Freitag und Samstag für 2,49 Euro bei Hofer",0,0,285
"Philips 5000-Serie Stabmixer inkl. Schneebesen, Spiralizer, XL-Zerkleinerer 1200 W",39.9,76.99,309
"Neueröffnung in Wien 1060, Tacos & Burger um € 2",2,0,250
BIPA Wienerbergstraße Neueröffnung - Eröffnungsangebote (wie Gratis Tragetasche für alle / BI Care Dusche für die ersten 100 KundInnen),0,0,181
Sardinien: Nicolaus Prime Villas Resort 4* mit Vollpension und Strandservice,1065,1280,157
"Nuki Smart Lock 4.0 weiß, elektronisches Türschloss",109.95,129.99,206
"HASKYY 8tlg. 1/2"" Drehmomentschlüssel-Set 28-210 Nm I 17 19 21mm Schlagschrauber-Nüsse Set - Schoneinsätze",36.84,43.34,178
Gratis Eintritt in das Bank Austria Kunstforum am Wiener Linien Tag [WienMobil-App/Jahreskarte],0,14,253
Adidas CENTENNIAL 85 LO 002 Lowtop blau | Größe 40-48,44.38,70,301
"SanDisk USB-Stick Sammeldeal: Ultra Flair 128GB 9,98€ / Ultra 256 GB 16,07€ / Ultra Luxe 256GB 20,16€ / Ultra Fit 1TB 69,70€",9.98,13.9,285
Bosch Cookit Multikocher Küchenmaschine in verschiedenen Bundles mit Zubehör (1399€ bzw. 1599€),1399,0,150
"[Infodeal] Milka Glücksrad, Chance auf 3€ Cashback 10.000x (Gewinn möglich)",0,0,455
Philips EP2333/40 Kaffeevollautomat,342.85,424.99,196
Ernstings Family: Bis zu 50% on top auf Sale z.B. Baby Langarmshirt für 3€ oder Damen Weste für 16€,0,0,181
Timberland: 25% on top auf den Mid Season Sale ab 150€ Einkauf,0,0,131
"GOURMETmaxx Doppelkammer-Heißluftfritteuse 2x 3,5L - Edelstahl, 2400W",59.99,79.65,180
Logitech G-X56 H.O.T.A.S. Controller zum BESTPREIS!,183.77,211.13,168
"Bosch ErgoMaster MSM4B6V2 Stabmixer 1000W mit Zubehör, BPA-frei, Grau",49.99,73.43,168
"CLATRONIC FR3782H Heißluftfritteuse (5 l, 1450 Watt, Edelstahlfront)",39.99,62.3,190
"Caturix Curridur Messenger Bag | 15,6''",30.9,68.99,213
Rituals Surprise Box,17.8,0,167
3 kostenlose Assets für Unreal Engine und Unity im Fab Store (früher Unreal Engine Marketplace),0,74.05,366
Thule Construct Laptop-Rucksack | 24 Liter,55.9,91.73,255
"""IL-2 Sturmovik: Battle of Moscow"" (PC) kostenlos",0,9.79,344
(Geheimtipp Megathread) 1kg Kaffeebohnen - verschiedene Sorten zu Spitzen-Bestpreisen,9.74,16.79,999
"Braun Barttrimmer BT3525 Series 3 inkl. 4 Zubehörteilen, bis 20mm",26.77,43.82,418
"Mtel: MEGA SWEAZY 5G mit 100GB Daten für 6 Monate, ohne Bindung",7.31,14.62,340
[Wien] Hori Fighting Stick Mini (PS5/PS4/PC),39.83,56.99,163
"INIU Power Bank, 22,5W Powerbank Klein Aber Stark 20000mAh (USB C Input & Output) mit Notfall Taschenlampe",9.97,16.41,103
"Palmolive Men Duschgel 500ml, Cool Splash, Spice Up oder Charge Up",1.49,2.79,244
Epson EcoTank Pro ET-M16680 3-in-1-Monodrucker | DIN A3,507.95,852.7,142
"[Humble Bundle] Choice Mai mit The Thaumaturge, Evil West, Amnesia: The Bunker, STAR WARS: Bounty Hunter, Shadow Gambit [8 Steam Keys]",12.99,76.3,173
Xiaomi Redmi Note 14 6GB/128GB zum Bestpreis,135.13,144.45,230
CMF Phone 2 Pro aktuell bei Amazon mit CMF buds 2,249,299.8,224
Marktguru: 40ct Cashback auf Croissants,0.19,0.59,261
[GzG] Edgard & Cooper Katzen-/Hundefutter (bis max. 25€),0,25,219
"OLED65B4ELA TV 165 cm (65 Zoll) OLED Fernseher (α8 4K AI-Prozessor, webOS 24, Dolby Vision, bis zu 120Hz) [Modelljahr 2024]",882.35,1204.99,381
"LG OLED55B4ELA TV 139 cm (55 Zoll) OLED Fernseher (α8 4K AI-Prozessor, webOS 24, Dolby Vision, bis zu 120Hz) [Modelljahr 2024]",684.71,919.99,562
XXXLUTZ Muttertagsfrühstück,7,12.9,327
Heiße Liebe bei Mömax um 2€,2,4,318
Philips Series 9000 Prestige Wet & Dry Rasierer SP9883/36,227.43,288,124
Starlink – Gratis Standard-Kit bei 12 Monaten Vertragsbindung – nur 50 €/Monat,600,949,258
3x 440ml SodaStream Sirup Schwip Schwap,10.16,12.87,154
"BioShock Infinite: The Complete Edition ►0,45€ / mit Guthaben nur ►0,05€ | Shooter | Metacritic: 94 [GOG Key] [Kinguin]",0.45,0.77,176
Nur in der Lidl Filiale in Felixdorf: -15% auf das gesamte Sortiment und -25% auf das gesamte Biersortiment (Lidl Plus App erforderlich),0,0,182
"PS Plus Essential Mai 25: Ark: Survival Ascended, Balatro, Warhammer 40,000: Boltgun",0,0,497
Lieferando Neukunden: Spare 12 € bei deiner ersten Bestellung (bestandkunde),12,0,1457
Ambia Garden GARTENLIEGE 168/55/54 cm,79.9,132.49,272
"Acer Predator Rift Gamingsessel, bis zu 110 kg, 4D-Armlehnen, 155° neigbare Rückenlehne",99.24,149.12,234
Mykonos: Kouros Hotel & Suites 5* mit Frühstück und Meerblick - z.B. Last Minute für 7 Nächte,1449,1901,184
Ambia Garden GARTENLIEGE 198/70/62 cm in Dunkelgrau oder Grün,48,79,252
"Steckdosenwürfel 4-Fach (mit 1,4m Kabel und erhöhtem Berührungsschutz), Brennenstuhl",9.88,12.99,208
"Ampace Andes 1500 LFP Powerstation 1462Wh, 2400W",679.99,779,143
Gratis Eintritt ins großer Pflanzenverkauf von Pflanzen für alle in Graz und Wien,0,0,248
Babbel Lebenslanges Sprachenlern-Abonnement (Alle Sprachen),149.94,528.34,247
Freier Eintritt ins Haus der Geschichte (hdgö) am 8. Mai,0,10,196
5€ Rabatt ab 15€ Bestellwert auf ausgewählte Nivea MEN Produkte,5,0,246
(Verfügbarkeitsdeal) Amazon - Midea PortaSplit,906,0,846
"[Wien] Xiaomi Redmi 13 6GB/128GB in Schwarz, Blau oder Pink",92.65,110,228
Nintendo Switch 2 [Amazon FR],445.4,469,348
Logitech MX Keys Mini Tastatur,64,80.57,183
"HONEYWHALE E9 Elektroroller mit ABE-Zertifizierung, 350-W-Motor, 36-V-7,5-Ah-Akku, 8,5-Zoll-Reifen, 20 km/h",169,296,265
SUMUP Solo Lite Kartenterminal,25,34,204
Bayern München - ALPINA MITZO - Verspiegelte Sonnenbrille für Kinder und Jugendliche,9.24,17.7,170
Muttertag am Wilden Berg Mautern,11,21.5,140
Bettwäsche Linus in Grau oder Türkis ca. 140x200cm,5,10,127
"Lenovo Essential Funktastatur und -maus Kombi Gen 2, Schwarz",36.76,44.9,168
"Mömax: 20€ ab 100€ Einkauf auf Wohnaccessoires wie Deko, Textilien und Leuchten",20,0,320
On Laufschuhe (verschiedene Modelle),100,150,158
Polsterbett Barleta Dunkelgrau ca. 90x200cm (120x200cm für 139€ / 140x200cm für 189€),89,157.49,134
